Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Competition,Suggested bid,Impr. share,In account?,In plan?,Extracted From
Online Dish,dish tv online,INR,10,0.89,12.86,0,N,N,
Online Dish,dish tv online recharge,INR,320,0.23,6.8,0,N,N,
Online Dish,dish tv recharge online,INR,70,0.51,10.23,0,N,N,
Online Dish,online dish tv recharge,INR,50,0.41,7.77,0,N,N,
Online Dish,online recharge dish tv,INR,20,0.58,10.24,0,N,N,
Online Dish,online recharge of dish tv,INR,10,0.54,6.95,0,N,N,
Online Dish,recharge dish tv online,INR,10,0.36,,0,N,N,
Online Dish,online dish tv,INR,10,1,,0,N,N,
Online Dish,online recharge for dish tv,INR,10,0.45,5.72,0,N,N,
Online Dish,recharge online tata sky,INR,10,0.27,,0,N,N,
Online Dish,dish tv online tv,INR,10,1,17.31,0,N,N,
Online Dish,online dish recharge,INR,10,0.77,,0,N,N,
Online Dish,dish online recharge,INR,10,0.27,,0,N,N,
Online Dish,dish tv online recharge offers,INR,10,0.55,11.08,0,N,N,
Online Dish,how to recharge dish tv online,INR,10,0.76,6.4,0,N,N,
Online Dish,www.dish tv online recharge,INR,10,,,,N,N,
Online Dish,dish recharge online,INR,10,0.64,11.14,0,N,N,
Online Dish,dish online tv,INR,10,1,,0,N,N,
Online Dish,dish online,INR,20,0.07,,0,N,N,
Online Dish,www dish tv recharge online,INR,10,,,,N,N,
Online Dish,free online dish tv recharge,INR,10,,,,N,N,
Online Dish,dish tv recharge online recharge,INR,10,,,,N,N,
Online Dish,online recharge in dish tv,INR,10,,,,N,N,
Online Dish,dish tv recharge online free,INR,10,,,,N,N,
Online Dish,online dish tv recharge offers,INR,10,,,,N,N,
Online Dish,recharge of dish tv online,INR,10,,,,N,N,
Online Dish,dish tv online offers,INR,10,,,,N,N,
Online Dish,online dish,INR,10,,,,N,N,
Online Dish,dish tv recharge online offers,INR,0,,,,N,N,
Online Dish,free dish tv recharge online,INR,,,,,N,N,
Online Dish,to recharge dish tv online,INR,,,,,N,N,
Online Dish,free online recharge dish tv,INR,0,,,,N,N,
Online Dish,how to recharge online dish tv,INR,10,0.09,,0,N,N,
Online Dish,dish tv easy recharge online,INR,10,,,,N,N,
Online Dish,how can i recharge dish tv online,INR,10,,,,N,N,
Dish Packages,dish tv packages,INR,140,0.62,10.58,0,N,N,
Dish Packages,dish tv package,INR,10,0.77,5.3,0,N,N,
Dish Packages,dish tv hd packages,INR,10,0.18,,0,N,N,
Dish Packages,reliance dish tv packages,INR,10,0.09,,0,N,N,
